Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
3Cnergy,502,CNER.SI,42.939,0.162,,,Real Estate,44,0,-12.5,180,75,-23588.89,-61.65,,69.34,-20.98,0.23
8Telecom,AZG,ETEL.SI,7.902,0.802,,,Technology Equipment,57,,,,,-65.84,,,,-26.76,
A-Smart,BQC,ASMA.SI,38.011,5.365,238.32,,Industrial & Commercial Services,61,-15,-19.05,-21.54,-21.54,3.91,1.04,49.36,6.66,,4.29
A-Sonic Aero,BTJ,ASON.SI,19.858,301.644,2.23,2.94,Transportation,57,1.49,36,44.68,36,3.45,21.19,1.52,25.11,,0.3
ABR,533,ABRH.SI,140.697,102.194,60.19,1.79,Food & Beverages,56,0,27.27,7.69,-6.67,2.81,2.61,5.77,33.03,,1.58
Abterra,L5I,ABTR.SI,13.142,50.177,,,Energy - Fossil Fuels,-6,,,,,-5.67,-7.07,,0,-74.89,
Abundance Intl,541,ABUN.SI,21.826,508.793,,,Industrial & Commercial Services,65,17.24,3.03,240,209.09,-0.67,-13.29,,41.33,4.31,0.24
Accordia Golf Tr,ADQU,ACCO.SI,20.206,659.689,0.94,233.7,Cyclical Consumer Services,61.3,0,8.26,32.64,33.84,3.33,2.66,0.23,74.8,0.93,0.02
Accrelist Ltd,QZG,ACCR.SI,9.212,138.869,,,Technology Equipment,,-13.16,-25,32,-52.86,-8.14,-28.68,,51.22,-16.9,0.41
Ace Achieve Info,A75,ACEA.SI,5.762,37.477,,,Technology Equipment,42,,,,,2.42,0.99,3.72,39.82,-33.16,0.13
Acesian Partners,5FW,ACES.SI,5.483,8.554,,,Industrial & Commercial Services,68,-15.38,-21.43,120,0,-99.7,-85.94,,4.58,-60.4,
Acma,AYV,ACMA.SI,3.858,72.424,,,Industrial Goods,67,1.11,4.6,-7.14,-24.17,-14.57,-50.19,,62.32,,0.37
Acromec,43F,ACRO.SI,17.598,31.564,,,Industrial & Commercial Services,61,4.1,24.51,144.23,41.11,-1.35,-6.59,62.72,49.23,0.39,2.28
Addvalue Tech,A31,AVAU.SI,43.458,13.072,16.51,,Technology Equipment,56,-8.33,-12,4.76,0,19.02,27.86,11.92,59.68,,6.04
Advanced,BLZ,ADVA.SI,9.006,94.404,1.22,,Energy - Fossil Fuels,64,0,1.16,128.95,-3.33,8.25,12.51,0.95,22.19,,0.23
Advanced Systems,5TY,ADSA.SI,22.324,10.773,,,Technology Equipment,68,0,0,0,0,-27.8,-137.22,,58.82,,5.21
Advancer Global,43Q,ADVN.SI,25.489,64.194,12.72,7.33,Industrial & Commercial Services,80,-2.88,34.67,-32.21,-42.29,3.36,4.45,5.48,8.34,-6.78,0.97
Adventus,5EF,ADVE.SI,23.407,0,171.43,,Industrial Goods,58,-25,-47.83,140,140,,0.79,88.78,65.24,,0.51
AEI,AWG,AEIC.SI,51.382,8.692,,,Mineral Resources,39,-1.11,-1.11,-1.11,30.88,-64.97,-12.17,,20.63,0.67,0.69
AEM,AWX,AEM.SI,1000.796,446.194,11.57,2.24,Technology Equipment,89,-1.09,16.4,71.56,187.3,19.22,58.7,10.74,2.99,,2.62
AF Global,L38,AFGL.SI,77.062,21.145,,6.85,Cyclical Consumer Services,66,-8.75,-29.81,-37.07,-44.27,-14.16,-0.88,53.4,10.73,,0.63
AGV,1A4,AGVG.SI,14.676,12.197,,,Mineral Resources,55,-8.33,-12,10,-26.67,-44.53,,,,291.56,
AIMS APAC Reit,O5RU,AIMA.SI,869.195,115.511,10.69,6.2,Real Estate,86.3,3.36,2.5,4.24,-10.22,69.7,8.53,,63.89,-3.53,1.08
AIMS Property,BVP,APW.AX,61.998,-2.933,,1.46,Real Estate,,3.73,11.2,15.83,-2.8,,-3.81,,0,-125.78,0.55
AliPictures HKD,S91,ALIB.SI,30710.041,3326.878,,,Cyclical Consumer Services,,-5.26,12.5,-23.08,-42.31,-40.55,-8,,4.91,-5.25,
Alita Resources,40F,ALIT.SI,114.822,69.751,,,Mineral Resources,48,,,,,-69.42,-43.51,,15,,6.13
Alliance HC,MIJ,ALLA.SI,39.083,42.784,16.74,1.81,Healthcare Services,51,4.44,25.33,-4.57,1.62,6.06,13.27,7.77,30.94,17.18,2.43
Allied Tech,A13,ALLT.SI,19.353,116.551,,,Industrial Goods,71,,,,,-24.69,-33.79,,13.65,0.25,
Alpha Energy,5TS,ALPH.SI,72.088,0.564,,,Energy - Fossil Fuels,56,0,0,0,14.29,-45972.79,,,14.81,,0.57
Alset,40V,ALSE.SI,94.545,16.917,,,Real Estate,75,-3.17,-32.97,90.63,29.79,-64.4,-36.85,,8.15,-58.14,0.8
Amara,A34,AMRA.SI,193.274,82.749,9.6,2.99,Cyclical Consumer Services,71,-2.9,-6.94,2.67,-23.57,24.43,5.21,6.14,97.63,,0.68
Amcorp Global,S9B,AMCO.SI,79.991,66.38,,,Real Estate,83,0,0,0,34.59,-78.33,-40.27,,156.19,,0.52
AMOS,RF7,AMOS.SI,51.947,128.622,,,Industrial Goods,57,0,-50,-33.33,-35.48,-8.73,-9.44,,41.34,,0.65
Amplefield Ltd,AOF,AMPL.SI,29.72,4.106,20.89,,Real Estate,77,0,6.45,10,65,35.46,2.15,19.8,2.91,,0.32
AMTD IB OV,HKB,,,,,,,,,,,,,,,,,
AnAn Intl,Y35,ANAN.SI,126.837,1956.783,,,Energy - Fossil Fuels,32,7.14,-36.17,400,1400,0.11,-1.48,9.73,94.76,-22.92,0.18
Anchor Resources,43E,ANCH.SI,8.742,0.914,,,Mineral Resources,76,-14.29,20,50,-14.29,-521.49,-209.48,,177.94,-25.9,3.61
Anchun Intl,BTX,ANIH.SI,11.141,27.924,25.47,10.73,Industrial Goods,50,-4.35,4.76,7.32,-6.38,1.74,0.84,4.33,0,,0.17
AnnAik,A52,AAIK.SI,16.393,52.299,6.91,5.36,Mineral Resources,53,-12.5,-6.67,-6.67,-8.2,6.65,3.75,2.61,58.67,-7.87,0.57
Annica,5AL,ANHL.SI,16.675,10.05,,,Energy - Fossil Fuels,51,0,0,0,0,-7.69,-17.11,,24.97,28.78,3.58
Aoxin Q & M,1D4,AOXI.SI,63.136,25.131,,,Healthcare Services,78,22.22,26.92,-5.71,-8.33,-14.54,-7.75,,21.69,,1.57
AP Oil,5AU,AOIL.SI,23.034,61.218,8.88,5.36,Chemicals,68,-3.45,-3.45,-12.5,-21.35,4.24,4.59,5.51,14.62,-5.86,0.58
APAC Realty,CLN,APAC.SI,126.095,374,7.57,5.63,Real Estate,56,1.43,-4.05,9.23,-31.73,4.42,11.39,6.39,44.45,,1.35
ARA HTrust USD,XZL,ARAU.SI,170.203,125.474,,,Real Estate,66.2,-3.23,-24.05,-33.33,-65.71,-12.51,-3.38,21.7,49.5,,1.03
ARA LOGOS Log Tr,K2LU,ARAL.SI,698.128,112.708,,6.81,Real Estate,81.6,1.59,7.56,21.9,-12.33,-6.65,-1.69,,72.14,,1.06
Arion Ent,YYB,ARIO.SI,5.604,0.869,,,Cyclical Consumer Services,,-25,-25,-14.29,0,-119.22,-42.89,,0,-12.75,1.91
Artivision Tech,5NK,ARTT.SI,10.787,0,,,Holding Companies,65,100,50,100,20,,,,,,
Ascendas Reit,A17U,AEMN.SI,11693.367,990.617,21.04,,Real Estate,94.4,-1.52,-1.82,11.76,5.48,53.42,7.02,92.07,71.11,,1.42
Ascendas-iTrust,CY6U,AINT.SI,1640.935,200.068,7.12,6.03,Real Estate,84.4,7.52,9.16,13.49,-8.33,114.86,18.78,7.13,76.79,,1.38
Ascott Trust,HMN,ASCO.SI,2762.789,475.038,290.85,5.65,Real Estate,,-6.32,-6.81,0.56,-35.51,6.93,0.33,49.21,62.38,,0.9
Asia Enterprises,A55,AEHL.SI,43.765,52.309,46.21,3.91,Mineral Resources,65,-4.48,5.79,11.3,-8.57,1.69,1.02,11.77,11.44,,0.57
Asia Vets,5RE,ASIV.SI,9.864,4.105,14.76,,Healthcare Services,59,-1.39,-21.11,12.7,-45.38,16.54,3.56,9.23,2.42,23.94,
AsiaMedic,505,ASIM.SI,24.632,15.976,,,Healthcare Services,67,0,-4.35,144.44,67.45,-10.04,-22.28,26.54,233.91,-14.7,1.15
Asian Healthcare,1J3,ASAI.SI,88.907,12.205,21.71,6.67,Healthcare Services,80,-1.52,6.56,11.43,-15.22,23.49,15.68,30.64,0,12.35,5.49
Asian Micro,585,AMHL.SI,3.192,3.958,50,,Industrial & Commercial Services,52,0,-25,-25,0,8.86,1.24,6.97,13.84,-11.25,2.37
Asian Pay Tv Tr,S7OU,ASIA.SI,223.988,302.171,11.67,9.27,Cyclical Consumer Services,53.3,-0.8,-2.36,-4.62,-26.19,5.22,1.37,2.15,142.09,-0.82,0.23
AsiaPhos,5WV,ASIP.SI,17.536,1.107,,,Mineral Resources,64,-15,-22.73,-19.05,112.5,-356.28,-5.52,,8.68,39.25,0.1
Asiatic,5CR,ATIC.SI,7.782,48.016,,,Industrial Goods,61,-16.67,-16.67,-28.57,25,-28.03,-39.27,,55.31,27.48,0.26
Asiatravel.com,5AM,ATVE.SI,12.573,94.353,,,Software & IT Services,34,,,,,-34.11,-144.67,,4.91,-33.58,0.98
ASL Marine,A04,ASLM.SI,20.217,243.637,,,Industrial Goods,86,-11.11,6.67,-8.57,-20,-7.55,-16.33,0.48,231.36,-22.13,0.21
Aspen,1F3,ASPE.SI,231.18,72.86,,,Real Estate,64,35.84,267.19,291.67,94.21,-3.48,-1.77,178.38,71.53,,
Aspial,A30,ASPA.SI,276.317,481.982,80.23,5.28,Real Estate,66,-2.07,-5.33,-6.58,-13.94,2.22,1.07,6.42,340.71,,1.12
Astaka,42S,ASTA.SI,164.582,65.933,,,Real Estate,80,,,,,-8.98,-19.73,,22.47,-32,4.35
ASTI,575,ATIH.SI,19.095,58.256,15.73,89.29,Technology Equipment,74,-9.68,-6.67,12,-6.67,13.79,1.55,1.34,11.15,,0.23
Atlantic Nav,5UL,ATLA.SI,20.391,107.001,,,Energy - Fossil Fuels,46,-2.5,8.33,18.18,0,-0.27,-0.26,1.68,95.31,20.27,
AusGroup,5GJ,AUSG.SI,61.084,252.12,,,Energy - Fossil Fuels,56,-9.09,-20,-16.67,-9.09,-24.19,-95.45,,76.51,-8.39,0.89
Avarga,U09,AVAR.SI,242.287,1435.527,10.12,2.39,Applied Resources,78,10.87,74.66,94.66,49.12,2.35,11.62,4.69,162.02,,0.97
Avi-Tech,BKY,AVTH.SI,77.088,29.41,12.6,4.55,Technology Equipment,92,4.76,0,20.55,29.58,20.3,11.85,10.49,0.15,,0.9
AVJennings A$,A05,AVJ.AX,225.84,262.354,24.9,2.16,Real Estate,,7.77,3.74,46.05,-1.77,3.45,2.29,20.23,50.55,-11.51,0.55
Axington,42U,AXIN.SI,54.308,4.589,94.68,10.68,Industrial & Commercial Services,84,0,6.41,78.71,,8.57,2.15,82.2,0,-44.77,
Axington R,IXOR,,,,,,,,,,,,,,,,,
Axington R1,QPQR,,,,,,,,,,,,,,,,,
Ayondo,1I5,AYON.SI,23.878,0,,,Banking & Investment Services,,,,,,,,,,100,
Azeus,BBW,AZEU.SI,42.55,31.757,19.17,2.68,Software & IT Services,61,0,51.06,51.87,59.55,6.99,12.82,10.88,0,22.59,0.76
B&M Hldg,CJN,BMHL.SI,22.771,2.153,,1.62,Banking & Investment Services,59,0,0,0,,-35.14,-8.44,,0,,
Baker Technology,BTP,BATE.SI,42.604,58.948,,,Energy - Fossil Fuels,82,2.44,-4.55,-12.5,-42.47,-32.27,-6.35,,7.65,,0.39
Ban Leong,B26,BANL.SI,25.63,150.234,8.77,5.68,Technology Equipment,70,-4.35,4.76,10,-4.35,1.99,9.24,5.96,13.63,-4.68,0.91
Banyan Tree,B58,BANY.SI,193.514,289.333,,,Cyclical Consumer Services,92,-4.17,-8,-16.36,-48.89,-16.44,-7.27,,79.3,,0.66
BBR,KJ5,BBRS.SI,48.707,122.17,,,Industrial & Commercial Services,78,7.14,-11.24,-16.67,-6.83,-17.07,-16.11,,84.65,,0.44
Beng Kuang,BEZ,BENK.SI,7.426,53.646,,,Industrial & Commercial Services,75,-8.33,-20.29,19.57,19.57,-15.89,-17.17,4.02,66.94,,0.09
Best World,CGN,BEST.SI,751.14,485.628,,3.99,Personal & Household Products & Services,64,,,,,19.3,38.2,7.48,4.27,38.23,
Beverly JCG,VFP,BEVE.SI,15.792,4.729,,,Healthcare Services,,-50,-50,-50,-50,-99.89,-77.6,,6.62,289.86,5.88
BH Global,BQN,BHGC.SI,136.5,61.607,22.52,,Industrial Goods,69,33.82,68.52,468.75,540.85,11.52,12.54,16.41,60.5,,0.45
BHG Retail Reit,BMGU,BHGR.SI,281.047,68.783,17.2,4.87,Real Estate,81.4,-0.9,-10.57,-3.51,-20.29,42.48,3.84,9.58,68.98,,0.83
Biolidics,8YY,BIOL.SI,85.815,7.541,,,Healthcare Services,,8.33,-21.69,3.17,44.44,-41.9,-29.28,,1.02,360.44,6.51
BlackGoldNatural,41H,BLAC.SI,14.035,17.607,,,Energy - Fossil Fuels,66,7.69,-6.67,16.67,40,-14.75,,,77.8,156.16,1.54
Blumont,A33,BLUM.SI,55.142,4.698,200,,Industrial & Commercial Services,59,0,0,100,0,5.26,6.87,58.3,172.02,,16.1
BMM,I9T,BMMO.SI,3.706,,,,Renewable Energy,37,,,,,,,,,,
Boldtek,5VI,BOLD.SI,17.263,54.79,,,Real Estate,77,8.14,3.33,0,-19.13,-6.77,-13.65,,96.04,-30.45,
Bonvests,B28,BVHS.SI,341.289,190.334,,,Cyclical Consumer Services,63,-1.16,-9.57,2.41,-28.57,-7.65,-1.73,19.2,35.95,,0.59
Boustead,F9D,BTSS.SI,347.547,726.561,11.04,4.32,Industrial & Commercial Services,77,0.72,-0.71,13.01,-10.9,6.12,9.1,6.34,43.91,,1.16
Boustead Proj,AVM,BOUS.SI,235.2,426.224,10.31,1.09,Industrial & Commercial Services,85,-2,-6.96,0,-19.67,5.19,7.68,7.24,52.06,,1.01
BRC Asia,BEC,BRCA.SI,293.702,902.78,6.83,4,Cyclical Consumer Products,54,5.93,2.46,11.61,-5.29,4.73,16.61,4.8,136.11,9.17,1.22
Broadway Ind,B69,BRWY.SI,50.967,365.614,,,Industrial Goods,53,1.89,2.86,31.71,145.45,-0.09,-0.44,3.4,42.08,13.33,0.26
Brook Crompton,AWC,BROO.SI,23.226,45.128,7.66,3.05,Industrial Goods,72,-11.49,-10.27,-23.84,-22.94,6.71,8.75,5.98,12.23,,0.75
Bukit Sembawang,B61,BSES.SI,921.723,369.72,12.12,1.12,Real Estate,77,-2.73,-7.53,-10.27,-24.48,20.58,5.79,11.23,29.33,3.32,1.07
Bumitama Agri,P8Z,BUMI.SI,798.133,762.543,9.61,1.98,Food & Beverages,77,-9,-3.19,-1.09,-19.47,13.08,11.15,5.11,81.21,,1.49
Bund Center,BTE,BCIL.SI,380.245,84.904,26.74,2,Real Estate,68,4.17,0,-6.54,-7.41,17.17,3.27,13.01,0.03,,0.98
Camsing Hc,BAC,CAMS.SI,31.012,12.958,,,Retailers,44,,,,,-8.35,-8.52,,33.06,-29.07,
CapitaCom Trust,C61U,CACT.SI,6372.096,407.996,48.22,4.46,Real Estate,112.5,-5.17,-5.71,6.45,-19.51,32.6,1.9,47.77,37.62,1.93,1.17
Capital World,1D5,CAPI.SI,9.164,14.098,,,Real Estate,53,0,0,0,-64.29,-181.37,-25.48,,13.39,-60.83,0.52
CapitaLand,C31,CATL.SI,14564.497,6131.089,10.53,4.35,Real Estate,123,1.47,-3.5,-7.38,-22.91,31.26,5.75,6.98,147.2,,0.66
CapitaMall Trust,C38U,CMLT.SI,7048.195,722.862,39.47,4.32,Real Estate,110.5,-5.91,-4.98,3.24,-27.38,24.68,2.37,38.96,48.51,-1.42,1.27
CapitaR China Tr,AU8U,CRCT.SI,1564.773,228.564,12.52,5.93,Real Estate,98.2,12.39,-0.78,-3.79,-16.99,53.36,6.71,12.73,65.28,,0.95
Captii,AWV,CAPT.SI,10.865,22.779,,3.68,Telecommunications Services,58,0,3.03,21.43,-10.53,3.9,-0.04,5.36,4.01,-23.08,0.3
Casa,C04,CASA.SI,11.75,16.437,3.38,,Cyclical Consumer Products,43,24.44,12,24.44,-3.45,18.21,6.21,3.27,4.15,-12.2,0.33
CDL HTrust,J85,CDLT.SI,1317.629,155.164,16.84,4.21,Real Estate,85.9,2.86,5.88,13.09,-34.55,50.99,4.33,14.46,58.46,,1.09
CDW,BXE,CDWH.SI,34.001,143.779,,11.22,Technology Equipment,85,-9.4,4.65,0,-28.95,-0.24,-0.5,10.94,16.58,,0.59
CEI,AVV,CEII.SI,79.141,130.274,12.15,6.02,Technology Equipment,79,1.69,8.89,7.62,-3.15,4.92,16.39,9.83,20.41,,2
Centurion,OU8,CNCL.SI,285.865,135.751,2.78,2.94,Real Estate,89,0,-5.56,-12.82,-17.07,78.91,18.62,3.37,148.99,9.67,0.66
CFM,5EB,CFMH.SI,6.852,17.415,,,Industrial Goods,71,17.24,142.86,142.86,,-4.04,-6.57,18.82,62.85,-14.25,
CH Offshore,C13,CHOF.SI,18.309,32.864,,,Energy - Fossil Fuels,62,0,-21.21,4,-59.38,-36.18,-11.07,,10.82,,0.5
Challenger,573,CHAL.SI,158.796,284.77,8.35,3.26,Retailers,73,0,4.55,9.52,-3.16,6.7,18.48,4.78,18.78,,1.96
Charisma Energy,5QT,CHAR.SI,26.644,15.586,,,,52,,,,,-232.63,,,1540.9,-10.77,
Chasen,5NV,CHHL.SI,20.973,100.957,,,Transportation,87,-1.82,-3.57,8,-22.86,-15.1,-24.88,,52.35,,0.41
ChasWood Res,5TW,CHAS.SI,2.26,0.707,,,Cyclical Consumer Services,41,,,,,-337.81,,,,-26.85,
Chemical Ind,C05,CHEM.SI,47.086,62.215,14.03,2.42,Chemicals,46,0,-1.59,-3.13,-12.68,5.39,2.81,5.21,0.02,-9.6,0.47
Cheung Woh,C50,CHWO.SI,30.995,48.859,,5.05,Industrial Goods,69,10,-1,-13.91,-37.74,-10.37,-6.47,15.16,6.94,-36.4,0.54
China Aviation,G92,CNAO.SI,843.473,21772.037,8.99,4.82,Energy - Fossil Fuels,84,4.84,-2.5,-6.25,-18.75,0.43,8.49,7.69,2.55,,1.06
China Env,5OU,CHEN.SI,31.164,1.186,,,Industrial & Commercial Services,59,,,,,-1530.68,-23.23,,21.54,,0.36
China Env Res,RS1,1130.HK,124.229,75.406,,,Industrial & Commercial Services,,-6.15,22,0,-19.74,-73.96,-9.28,,3.48,-36.84,0.4
China Everbright,U9E,CEWL.SI,1220.934,908.624,4.27,6.23,Utilities,83,-4.44,-4.44,2.38,-31.75,16.63,9.3,7.26,97.64,,0.63
China Fishery,B0Z,CNFG.SI,270.692,662.153,,,Food & Beverages,45,,,,,6.61,2.22,2.06,104.74,-20.31,0.5
China Great Land,D50,CHIG.SI,1.353,0,,,Cyclical Consumer Products,26,,,,,,,,,,
China Haida,C92,CHHA.SI,1.022,27.242,,,Mineral Resources,68,0,0,0,-20,-81.82,-65.65,,9.89,-40.27,
China Hongxing,BR9,CHXS.SI,345.218,0,,,Cyclical Consumer Products,22,,,,,,,,,,
China Intl,BEH,CHNA.SI,20.715,24.963,2.24,,Industrial & Commercial Services,59,7.41,0,58.47,13.73,47.65,14.24,1.31,31.97,,
China Jishan,J18,CJIS.SI,57.445,7.365,,10.16,Cyclical Consumer Products,75,0,0,137.5,-5,-197.51,-41.44,,163.95,-3.71,0.87
China Mining,BHD,CMIL.SI,8.119,0.526,,,Real Estate,57,2.22,24.32,15,-54,-873.61,-24.6,,0,,0.76
China Paper,C71,CPHL.SI,43.925,147.936,,,Applied Resources,26,,,,,-6.17,-2.86,4.27,0,-28.52,0.12
China Real Estate,5RA,CHIR.SI,35.648,,,,Real Estate,53,100,0,100,100,,,,2.42,,0.67
China Sky Chem,E90,CSKY.SI,24.198,322.346,,,Cyclical Consumer Products,12,,,,,-22.9,-17.16,,0,-24.79,
China Sports,FQ8,CSIL.SI,12.806,52.317,,,Cyclical Consumer Products,44,,,,,0.15,0.08,3.81,0,29.19,0.07
China Star Food,42W,CHIA.SI,14.887,65.529,,,Food & Beverages,48,0,8.7,31.58,-7.41,-2,-1.51,4.48,5.22,-9.48,0.13
China Yuanbang,BCD,CYBP.SI,15.311,117.038,1.64,,Real Estate,64,15.18,22.22,69.23,-20,9.66,6.33,1.22,115.23,,0.19
ChinaKangdaFood,P74,0834.HK,136.92,1663.941,,,Food & Beverages,56,-19.23,-3.08,-13.7,-58,-0.11,-0.32,1.52,68.86,2.49,0.38
ChinaKundaTech,GU5,CKUN.SI,12.689,7.328,,,Automobiles & Auto Parts,70,14.81,40.91,287.5,181.82,-16,-12.5,,0,4.29,0.44
ChinaSunsine,QES,CHSN.SI,389.523,470.598,9.28,2.53,Chemicals,,12.86,12.86,6.76,-31.3,8.85,8.17,5.88,0.43,,1.16
Chip Eng Seng,C29,CESE.SI,362.568,840.362,,9.09,Real Estate,85,0,-10.2,-16.19,-28.46,-0.79,-0.75,13.19,232.34,,0.56
Choo Chiang,42E,CHOO.SI,44.72,53.568,13.69,3.26,Industrial Goods,46,2.38,2.38,79.48,,6.1,7.12,10.17,6.27,-15.56,
Chuan Hup,C33,CHHS.SI,199.329,34.265,,4.65,Real Estate,63,0,12.57,10.26,-15.69,-67.86,-6.67,,0.02,,0.69
Citicode,5FH,CITC.SI,41.317,18.02,,,Mineral Resources,75,0,0,0,0,-1.63,,,,,
CityDev,C09,CTDM.SI,7028.899,2905.101,37.4,1.81,Real Estate,125,-4.45,-7.43,0.82,-25.08,7.56,1.85,14.29,84.83,,0.83
Civmec,P9D,CIVM.SI,202.349,376.739,11.97,2.45,Industrial & Commercial Services,83,9.46,1.25,10.96,15.71,4.48,8.04,7.51,67.26,-19.78,1
Clearbridge,1H3,CLEA.SI,96.253,36.139,,,Healthcare Services,70,1.28,-11.24,16.18,12.86,-16.61,-10.88,,37.44,,1.76
CNMC Goldmine,5TP,CNMC.SI,120.119,39.633,66.76,1.36,Mineral Resources,79,5.36,21.76,54.57,10.49,5.24,3.1,14.94,2.27,,1.86
Colex,567,COLX.SI,24.119,59.481,10.12,2.47,Industrial & Commercial Services,60,-6.67,31.44,57.42,11.87,4.02,5.56,3.91,9.99,-12.54,0.55
Combine Will,N0Z,CWIHx.SI,30.675,223.979,4.39,5.26,Cyclical Consumer Products,64,-4.04,1.6,-4.04,-5.94,3.12,6.01,1.47,60.31,,0.3
ComfortDelGro,C52,CMDG.SI,3163.628,3504.3,28.08,3.62,Transportation,110,-1.35,2.1,-3.95,-39.92,4.18,4.47,5.61,32.74,,2.24
Cordlife,P8A,CORD.SI,93.634,58.051,11.86,2.86,Healthcare Services,59,-5.41,2.94,6.06,-16.67,12.95,6.01,7.48,3.77,,1.06
Cortina,C41,CORT.SI,311.287,513.813,7.92,3.19,Retailers,75,12.57,43.93,61.16,45.04,8.11,18.23,4.4,12.03,,1.11
COSCO SHP SG,F83,COSC.SI,416.5,177.56,99.47,,Transportation,55,-4.62,-7,-17.33,-33.57,2.65,0.78,9.94,50.81,,1.32
CosmoSteel,B9S,COSM.SI,23.813,83.024,4.27,3.05,Mineral Resources,85,9.33,1.23,12.33,2.5,6.72,7.22,2.21,40.44,,0.19
Courage Inv,CIN,1145.HK,116.348,89.956,,,Transportation,,51.43,7.07,32.5,6.53,-12.03,-3.24,,43.81,-24.18,0.44
CPH,539,CIPH.SI,6.146,,,,Real Estate,59,25,0,25,0,,,,3.53,,0.97
Creative,C76,CREA.SI,185.767,83.042,,,Technology Equipment,58,0,-13.89,6.44,-12.06,-28.73,-17.42,,0,,1.77
CromwellReit EUR,CNNU,CROM.SI,1214.138,188.334,17.14,7.94,Real Estate,95.4,0,5.56,18.75,-5.94,37.49,5.8,,59.26,,0.92
CromwellReit SGD,CSFU,,,,,,,,,,,,,,,,,
CSC,C06,CSCH.SI,43.973,342.789,7.73,,Industrial & Commercial Services,56,-5.88,-15.79,-15.79,-20,2.13,,1.22,89.38,6.08,0.38
CSE Global,544,CSES.SI,239.972,523.616,8.4,5.91,Software & IT Services,78,-4.12,1.09,17.72,-1.06,5.39,16,5.27,29.03,,1.46
CWX Global,594,CWXG.SI,7.79,3.468,,,Energy - Fossil Fuels,80,100,-33.33,0,-33.33,-98.83,-5.12,,38.94,,0.11
DairyFarm USD,D01,DAIR.SI,5140.271,10671.4,19.7,5.13,Food & Drug Retailing,,-4.28,-16.85,-23.23,-35.7,2.43,24.06,4.16,446.21,-7.86,9.07
Darco Water Tech,BLR,DRWT.SI,11.447,71.592,,,Industrial & Commercial Services,67,-15.86,-23.75,-6.87,-41.9,-18.47,-23.56,,19,-16.66,0.6
Dasin Retail Tr,CEDU,DASI.SI,620.3,77.837,,6.18,Real Estate,85.9,-0.62,1.91,-0.62,-5.33,-97.99,-9.62,,66.68,,0.66
Datapulse Tech,BKW,DATA.SI,41.624,2.584,,2.63,Technology Equipment,63,5.56,4.4,2.7,-11.63,-222.6,-7.77,,30.04,,0.68
DBS,D05,DBSM.SI,54889.32,14670,10,5.33,Banking & Investment Services,123,6.68,0.05,10.94,-14.23,35.95,10.62,8.95,116.48,,1.34
Debao Property,BTF,DPDL.SI,11.281,50.469,,,Real Estate,40,-21.05,-50,70.45,141.94,-85.43,-25.52,,187.24,66.52,0.03
Del Monte Pac,D03,DMPL.SI,730.258,2940.591,,5.69,Food & Beverages,109,0,46.06,44.62,12.36,-2.57,-9.2,6.11,345.48,14.37,0.34
Delfi,P34,DELF.SI,412.015,600.792,12.82,4.81,Food & Beverages,85,-4.93,-6.9,-3.57,-32.5,5.35,10.65,8.1,23.12,,2.67
Design Studio,D11,DESS.SI,21.602,114.686,,,Retailers,54,0,0,0,3.75,-44.71,-91.81,,0,-30.12,0.86
DISA,532,DISA.SI,20.077,6.958,,,Industrial Conglomerates,61,0,100,0,0,-196.44,-90.21,,0.82,1269.69,0.92
Don Agro,GRQ,DONA.SI,45.082,,,2.31,Food & Beverages,,7.14,15.38,-4.76,,,,,,,
Dragon,MT1,DRGN.SI,1.373,2.735,,,Industrial Goods,64,,,,,448.66,136.09,0.11,0,-29.87,
Dukang,BKV,DDHL.SI,5.203,22.982,,,Food & Beverages,54,0,18.18,-1.52,4.84,-65.24,-7.53,,11.29,,0.04
Dutech,CZ4,DTHL.SI,96.533,358.48,6.75,3.7,Technology Equipment,62,0,-6.9,31.71,28.57,3.99,7.14,3.34,22.17,,0.47
Duty Free Intl,5SO,DUTY.SI,103.298,154.229,,5.95,Transportation,63,-9.68,-12.5,-14.53,-29.49,-4.57,-3.58,,20.61,-18.08,0.75
Dyna-Mac,NO4,DMHL.SI,91.066,116.624,,,Industrial Goods,79,-4.3,-14.42,2.3,-1.11,-32.89,-44.16,,48.63,32.37,1.06
Eagle HTrust USD,LIW,EAGL.SI,119.567,74.346,,25.39,Real Estate,,0,0,0,-79.24,-54.04,-5.43,,65.08,,0.8
EC World Reit,BWCU,ECWO.SI,547.321,103.276,9.62,8.15,Real Estate,80.3,3.03,5.43,6.25,-7.48,54.65,8.23,,72.46,8.76,0.92
EcoWise,5CT,ECOW.SI,28.724,51.156,37.97,,Industrial & Commercial Services,78,7.14,7.14,30.43,20,2.22,2.04,6.25,45.36,,0.73
Edition,5HG,EDIT.SI,12.616,0.136,,,Food & Beverages,64,-16.67,-16.67,-16.67,0,-4115.44,-28.39,,1.7,34.65,0.56
Eindec,42Z,EIND.SI,11.093,8.817,,,Industrial Goods,58,25.61,296.15,329.17,,-27.54,-33.93,,25.6,-14.84,
