Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Mun Siong Engg,MF6,MSEL.SI,26.17,66.809,,0.89,Industrial & Commercial Services,76,-29.69,18.42,28.57,7.14,-0.33,-0.4,7.57,1.34,,0.49
Murata Yen1k,PJX,,,,,,,,,,,,,,,,,
MYP,F86,MYPL.SI,146.507,23.33,,,Real Estate,67,-16.36,8.24,50.82,-16.36,-8.93,-0.59,,128.69,,0.61
Nam Cheong,N4E,NMCG.SI,29.13,121.288,,,Industrial Goods,66,0,0,-20,-33.33,-66.12,,,,23.96,
Nam Lee Metal,G0I,NLPM.SI,74.342,135.703,12.76,3.28,Cyclical Consumer Products,45,1.67,1.67,-1.61,-17.55,4.28,4.14,7.33,0.9,,0.62
Natural Cool,5IF,NCHL.SI,11.521,126.699,,,Industrial & Commercial Services,81,0,0,39.39,-14.81,-2.03,-10.88,2.72,239.54,-8.14,0.61
NauticAWT,42D,NAUT.SI,14.277,7.336,21.01,,Energy - Fossil Fuels,54,0,-14.29,157.14,38.46,1.14,,11.06,,-15.91,
Neo,5UJ,NEOG.SI,66.308,185.868,10.47,1.11,Cyclical Consumer Services,82,-12.62,18.42,12.5,2.27,3.37,15.82,3.09,214.81,2.68,1.57
NeraTel,N01,NERA.SI,61.522,140.635,13.12,2.94,Technology Equipment,88,0,-3.95,-8.11,-37.04,3.34,7.11,9.19,25.7,,1.54
Net Pacific Fin,5QY,NPFH.SI,10.5,0.634,,,Banking & Investment Services,55,0,5.26,53.85,-9.09,-323.34,-10.6,,0,70.33,0.49
NetLink NBN Tr,CJLU,NETL.SI,3799.547,370.192,48.65,5.18,Telecommunications Services,98.9,1.04,0.52,0,7.14,21.1,2.63,15.45,20.94,4.7,1.07
New Silkroutes,BMT,NEWS.SI,17.355,509.169,,,Healthcare Services,52,-48.75,-53.93,-50.6,-61.86,-0.3,-4.7,6.09,60.71,-38.02,0.88
New Toyo,N08,NTYO.SI,90.082,276.709,,5.12,Applied Resources,79,24.24,46.43,49.64,30.57,-3.29,-4.54,8.32,51.26,,0.56
New Wave,5FX,NEWW.SI,13.82,14.14,,,Mineral Resources,61,0,14.29,60,33.33,-15.46,-11.6,,22.06,-17.8,0.53
NGSC,B07,NGSC.SI,6.449,0,0.29,,Telecommunications Services,40,0,0,0,,,78.62,0.31,0,,0.78
